title,genre,director,country,year
А был ли Каротин?,"Детективный фильм, Кинокомедия",Геннадий Полока,СССР,1989
А завтра весь мир,Драматический фильм,Юлия фон Хайнц,,2020
А защищал её Плевако,Драма (жанр),Николай Козловский,Российская империя,1916
А если это любовь?,Драма (жанр),Юлий Райзман,СССР,1961
"А ну-ка, дедушки!",,"Нинель Ненова-Цулая, ,,  , Гено Цулая",СССР,1981
А кто я на этот раз?,,Джонатан Демми,,1983
А зори здесь тихие…,,Ренат Давлетьяров,Россия,2015
…А зори здесь тихие,,Станислав Ростоцкий,СССР,1972
А вы любили когда-нибудь?,Музыкальная комедия,Игорь Усов,СССР,1973
А вот и Хаггетты,"Комедийный фильм, Драматический фильм",Кен Эннакин,Великобритания,1948
А как же Боб?,Кинокомедия,Фрэнк Оз,США,1991
А пароходы гудят и уходят…,,"Рубен Мурадян, [d]",СССР,1972
А вот и Полли,Комедия,Джон Гамбург,США,2004
А в душе я танцую,Драма (жанр),Дэмиен О'Доннелл,"Великобритания, Ирландия, Франция",2004
Азбука любви,Мелодрама,Леонс Перре,США,1919
Азартные игры,"Триллер, Драма (жанр)",Джон Франкенхаймер,США,2000
Азарт удачи,Кинокомедия,Билли Уайлдер,США,1966
Азарт любви,"Музыкальный фильм, Драматический фильм, Боевик (киножанр)",Мансур Хан,Индия,2000
А вот и Лола,Романтическая комедия,"Эллен Сидлер,  ,  , Мэган Силер",США,2009
Азартная игра,Драма (жанр),Уильям Фридкин,,1994
А вот и гости!,"Кинокомедия, Драма (жанр), Семейный фильм, Фэнтези",Дэвид Йейтс,Великобритания,2003
Азамат,Драматический фильм,,СССР,1939
Адский переплёт,"Фильм-нуар, Триллер",Уильям Дж. Хоул-младший,США,1957
Адский остров,Нуар,Фил Карлсон,США,1955
Адский небоскрёб,"Кинокомедия, Пародия",Чарльз Немес,Франция,2001
Адский котёл,Фильм ужасов,Жорж Мельес,Франция,1903
Адский ветряк,Боевик (киножанр),"Лу Цзюньгу, Тони Вон",Гонконг,1979
Адский бункер: Черное солнце,"Боевик (киножанр), Фильм ужасов",Стив Баркер,Великобритания,2012
Адский бункер: Восстание спецназа,"Боевик (киножанр), Фильм ужасов",Киран Паркер,Великобритания,2013
Адский бункер,"Боевик (киножанр), Фильм ужасов",Стив Баркер,Великобритания,2008
Адская поездка,"Боевик (киножанр), Триллер, Приключения",Ларри Бишоп,США,2008
Адская месть-2. Кровавые крылья,Фильм ужасов,Джефф Барр,,1994
Адская ночь,,"Том Де Саймон, [en]",США,1981
Адская кухня,"Криминальный фильм, Драма (жанр), Боевик (жанр)",Андреа Берлофф,США,2019
Адская кухня,"Криминальный фильм, Драматический фильм",Тони Чинчирипини,США,1998
Адская жёнушка,Кинокомедия,"Джеймс Лейн, Дональд Джонс",США,1993
Адская кухня,Драма (жанр),Сильвестр Сталлоне,США,1978
Адрес неизвестен,Кинокомедия,Жан-Поль ле Шануа,Франция,1951
Адрес Ленина,,Владимир Петров,СССР,1929
Адреналин: Страх погони,"Боевик (киножанр), Кинофантастика",Альберт Пьюн,США,1996
Адреналин: Высокое напряжение,"Боевик (киножанр), Криминал, Триллер, Чёрная комедия, Эксплуатационное кино, Поп-рок, Альтернативный рок, Саундтрек","Марк Невелдайн, Брайан Тейлор",США,7 апреля 2009
Адреналин,"Боевик (киножанр), Триллер, Криминал, Чёрная комедия","Марк Невелдайн, Брайан Тейлор",США,2006
Адреналин,Фильм ужасов,"Анита Ассаль, Бартоломи Бомпар",Франция,1990
Адмиралъ,"Исторический фильм, Военный фильм, Приключенческий фильм, Мелодрама, Драма",Андрей Кравчук,"Россия, Франция, Китай",2008
Адмирал Ушаков,,Михаил Ромм,СССР,
Адмирал Нахимов,Исторический фильм,Всеволод Пудовкин,СССР,1946
Адмирал,"Байопик, Военный фильм, Исторический фильм, Драма (жанр)",Роэль Рейн,Нидерланды,2015
Административная власть,Драма (жанр),Роберт Уайз,,1954
Аджами,Драма (жанр),"Скандар Копти, Ярон Шани","Израиль, Германия",2009
Адемай на пограничном посту,Кинокомедия,Поль Коллин,Франция,1950
Адела ещё не ужинала,"Кинокомедия, Детектив",Олдржих Липский,Чехословакия,1977
Адвокат дьявола,"Фильм ужасов, Триллер, Драма (жанр)",Тейлор Хэкфорд,,
Адвокат,Драма (жанр),"Ян Усок,  ,  , (англ.),  (, рус.",Республика Корея,2013
Адвокат,"Драма (жанр), Детективный фильм",Искандер Хамраев,СССР,1990
Адвокат,Драма (жанр),Уильям Уайлер,США,1933
Адаптация,"Трагикомедия, Музыка к фильму",Спайк Джонз,США,2002
Адамовы яблоки,"Кинокомедия, Драма (жанр), Криминальный фильм",Андерс Томас Йенсен,"Дания, Германия",2005
Адам хочет быть человеком,Драма (жанр),Витаутас Жалакявичюс,СССР,1959
Адам и Стив,Кинокомедия,Крэйг Честер,США,2005
Адам и Хева,,Алексей Коренев,СССР,1969
Адам женится на Еве,"Кинокомедия, Драма (жанр)",Виктор Абросимович Титов,,1980
Адам,"Драма (жанр), Мелодрама",Макс Майер,США,2009
Адажио,,Стефано Соллима,,2023
Ада! Это же неудобно!,Кинокомедия,Конрад Том,,1936
"Ад, или Досье на самого себя",Драматический фильм,Геннадий Беглов,СССР,1989
На эту статью ,Драма (жанр),Франк Ван Мехелен,Бельгия,2006
Ад по соседству,"Драматический фильм, Фильм ужасов, Фильм-триллер","Дэвид Мармор, [d], [1]",,2019
Ад каннибалов 3,"Ужасы, Приключения",Руджеро Деодато,,1977
Ад каннибалов,Ужасы,Руджеро Деодато,Италия,1980
Ад и небо,"Кинофантастика, Кинокомедия",Станислав Ружевич,Польша,1966
Ад живых мертвецов,Фильм ужасов,"Бруно Маттеи, Клаудио Фрагассо","Италия, Испания",1980
Ад в Тихом океане,"Приключенческий фильм, Боевик (киножанр)",Джон Бурмен,США,1968
Ад в заливе Фриско,Нуар,Фрэнк Таттл,США,1956
Ад,"Детектив, Драма (жанр), Чёрный юмор",Луис Эстрада,Мексика,2010
Ад,Драма (жанр),Клод Шаброль,Франция,1994
Ад,"Немой кинематограф, Драматический фильм","Джузеппе де Лигуоро, [d], Адольфо Падован, [d], Франческо Бертолини, [d]",,1911
Ад в поднебесье,Фильм-катастрофа,Джон Гиллермин,США,1974
Агрессивные дамочки / Нападения 5-футовых женщин,"Кинокомедия, Пародия","Джули Браун, Ричард Уэнк",США,1994
Агора,"Биография, Драма (жанр), Приключенческий фильм, Исторический фильм, Пеплум (жанр)",Алехандро Аменабар,"Испания, Мальта, Португалия, Франция, США",2009
Агония,"Исторический фильм, Драматический фильм",Элем Климов,СССР,
Агенты Сокол и Снеговик,"Драма (жанр), Триллер",Джон Шлезингер,"Великобритания, США",1985
Агнец,"Драма (жанр), Фолк-хоррор",Вальдимар Йоханнссон,,2021
Агнесса Божья,"Драма (жанр), Триллер",Норман Джуисон,США,1985
Агитбригада «Бей врага!»,"Комедия, Драма (жанр)",Виталий Мельников,Россия,2007
"Агирре, гнев Божий","Драма (жанр), Приключенческий фильм",Вернер Херцог,,1972
Агенты КГБ тоже влюбляются,Комедия положений,Себастьян Аларкон,,1991
Агенты казначейства,Нуар (кино),Энтони Манн,,1947
Агенты А.Н.К.Л.,Боевик (жанр),Гай Ричи,США,2015
Агент-невидимка,"Фильм ужасов, Фантастический фильм",Эдвин Л. Марин,США,1942
Агент секретной службы,"Детектив, Шпионский фильм, Драматический фильм",Ион Скутельник,СССР,1978
Агент под прикрытием,"Криминальный фильм, Комедийный боевик (кино)",Том Воган,США,
Агент по кличке Спот,"Боевик (киножанр), Кинокомедия",Джон Уайтселл,США,2001
Агент по имени Далила,Триллер,Ричард Франклин,,1992
Агент особого назначения,Детектив,"Константин Статский,  (1-й сезон), , Наталья Шабанова,  (2-й сезон), , Андрей Элинсон,  (3-й и 4-й сезоны)",Россия,
Агент Коди Бэнкс 2: Пункт назначения - Лондон,Комедия,Кевин Аллен,США,2004
Агент Коди Бэнкс,"Комедия, Пародия, Боевик (киножанр)","Харальд Цварт,  ,  , (англ.),  (, рус.",США,2003
Агент Картер,"Короткометражный фильм, Боевик (киножанр), Приключенческий фильм, Научная фантастика в кинематографе",Луис Д'Эспозито,США,2013
Агент Ева,,Тейт Тейлор,США,25 сентября
Агент Джонни Инглиш: Перезагрузка,,Оливер Паркер,,2011
Агент Джонни Инглиш 3.0,"Кинокомедия, Пародия, Боевик (киножанр)",Дэвид Керр,"Великобритания, Франция",2018
В статье ,"Комедия, Боевик (киножанр)",Питер Хауитт,"Великобритания, Франция",2003
Агент 117: Миссия в Рио,"Кинокомедия, Боевик (киножанр)",Мишель Хазанавичус,Франция,2009
Агент 117:,"Кинокомедия, Боевик (киножанр), Поп-музыка, Фолк, Джаз",Мишель Хазанавичус,Франция,14 апреля 2006
Агент 117: Из Африки с любовью,"Шпионский фильм, Кинокомедия",Николя Бедос,,2021
Агент,Боевик (киножанр),Аарон Норрис,США,1991
Агата,"Драма (жанр), Триллер",Майкл Эптед,Великобритания,1979
Автострада,"Фильм ужасов, Триллер, Мистический фильм",Мик Гаррис,,
Автостопом по галактике,"Приключенческий фильм, Кинокомедия, Кинофантастика",Гарт Дженнингс,"США, Великобритания",2005
Автостоп,"Мелодрама (жанр), Комедийная драма",Никита Михалков,"СССР, Италия, Швейцария",1990
Эта статья содержит информацию ,Супергеройский фильм,,США,
В статье ,"Blaxploitation, Драма (жанр), Боевик (киножанр)",Эрнест Дикерсон,США,1992
Авторитет,"Боевик (киножанр), Триллер",Райан Комбс,США,
Автора! Автора!,Мелодрама,Артур Хиллер,США,1982
Автор,,Мануэль Мартин Куенка,"Испания, Мексика",2017
Автопробег «Париж — Нью-Йорк»,,Жорж Мельес,"Франция, Нью-Йорк, Германия",1908
Автомобильные воры,Драма (жанр),Дж. Стюарт Блэктон,США,
"Автомобиль, скрипка и собака Клякса","Кинокомедия, Музыкальный фильм, Фильм-сказка",Ролан Быков,СССР,1974
Автомобиль на крыше,,Дмитрий Кесаянц,СССР,1980
Автомобиль,"Фильм ужасов, Фильм-тайна, Фильм-триллер","Эллиот Силверштейн, [d]",,13 мая
"Автомобили, которые съели Париж","Фильм ужасов, Кинокомедия",Питер Уир,Австралия,1974
Автомат,Документальное кино,Лиза Гурвиц,,2021
Автокатастрофа,"Драма (жанр), Триллер",Дэвид Кроненберг,,17 мая
Автобусная остановка,"Кинокомедия, Драматический фильм",Джошуа Логан,США,1956
Автобус отходит в 6.20,"Драма (жанр), Соцреализм",Ян Рыбковский,Польша,1954
Автобус,,Арне Скуэн,Норвегия,1961
Автобан,Боевик (киножанр),"Эрен Криви, [en]","Германия, США, Великобритания",2016
Австрийское поле,Драматический фильм,Андрей Черных,СССР,1991
Австрийка,"Драма (жанр), Исторический фильм",Пьер Гранье-Дефер,Франция,1989
Австралия,"Эпос, Драма (жанр)",Баз Лурман,,26 ноября
«Аврора»,"Драма (жанр), Мелодрама",Оксана Байрак,Украина,2006
Авраам: Хранитель веры,Драма (жанр),Джозеф Сарджент,"США, Италия, Великобритания",1994
Авиценна,"Биографический фильм, Исторический фильм",Камиль Ярматов,СССР,1956
"Авива, любовь моя",Драматический фильм,"Шеми Зархин, [d], [1]",,2006
Авиатор,"Фильм-биография, Драма (жанр)",Мартин Скорсезе,"США, Япония",2004
Авиапочта,"Мелодрама, Приключенческий фильм",Ирвин Виллат,США,1925
"Авель, твой брат","Психология, Драма (жанр)",Януш Насфетер,Польша,1970
Аве Цезарь,Комедия,Энтони Майкл Холл,США,1994
Аве Мария,"Драма (жанр), Мелодрама",Людмила Ефименко,Украина,1999
Авдотья Павловна,"Киноповесть, Драматический фильм, Социальная драма",Александр Муратов,СССР,
Августовские киты,Драма (жанр),Линдсей Андерсон,США,1987
Августовская рапсодия,Драма (жанр),Акира Куросава,Япония,1991
Август: Графство Осейдж,Драма,Джон Уэллс,США,2013
Август Раш,"Драма (жанр), Мелодрама",Кирстен Шеридан,США,2007
Август без императора,"Драма (фильм), Триллер",Сацуо Ямамото,Япония,
Август,"Кинокомедия, Драма (жанр)",Энтони Хопкинс,Великобритания,1996
"Аватар, или Замена душ","Кинофантастика, Драма (жанр)",Януш Маевский,Польша,1964
Эту статью предлагается ,"Эпический фильм, Научно-фантастический фильм, Боевик (киножанр), Приключенческий фильм, Фэнтези",Джеймс Кэмерон,США,
«Аватар: Путь воды»,"Эпический фильм, Научно-фантастический фильм, Боевик (киножанр), Приключенческий фильм",Джеймс Кэмерон,США,
Август. Восьмого,"Военный фильм, Боевик (жанр), Драма (жанр)",Джаник Файзиев,Россия,2012
Аватар,Драма (жанр),Кармине Галлоне,Королевство Италия,1916
Этот раздел содержит информацию ,"Эпический фильм, Научно-фантастический фильм, Боевик (киножанр), Приключенческий фильм, Фэнтези",Джеймс Кэмерон,США,
Авария (Несчастный случай),Боевик (киножанр),Серджиу Николаеску,,1976
Этот раздел содержит информацию ,"Эпический фильм, Научно-фантастический фильм, Боевик (киножанр), Приключенческий фильм, Фэнтези",Джеймс Кэмерон,США,2025
Авария,Триллер,Джонатан Мостоу,США,1997
Авария,Детективный фильм,Джеймс Аллен,"ЮАР, США, Заир",1990
Авария,"Детектив, Драма (жанр)",Витаутас Жалакявичюс,СССР,1974
Аватар,"Эпический фильм, Научно-фантастический фильм, Боевик (киножанр), Драматический фильм, Приключенческий фильм",Джеймс Кэмерон,"США, Великобритания",
Авария,Детектив,"Александр Абрамов, Наум Бирман",СССР,1965
Авария — дочь мента,Драматический фильм,Михаил Туманишвили,СССР,
Аварийный выход,Кинокомедия,Роман Залуски,Польша,1982
Авантюристы,Приключенческий фильм,Константин Буслов,Россия,2014
Авантюристы,"Драма (жанр), Комедия, Боевик (киножанр), Военный фильм, Приключенческий фильм",Анри Вернёй,Франция,1984
Авантюристы,Приключенческий фильм,Дэвид Макдональд,Великобритания,1951
Авантюрист,"Драма (жанр), Приключенческий фильм","Чжан Пэйчэн, [zh]",Китайская Республика,1976
Аванти!,Кинокомедия,Билли Уайлдер,"США, Италия",1972
Авангард: Арктические волки,Боевик (киножанр),Стэнли Тонг,,2020
Авантюра леди Хелен,Короткометражное кино,Дэвид Уорк Гриффит,США,1909
Авантюра,,Виталий Макаров,"Россия, Украина",1995
Аванпост,"Фильм-триллер, Постапокалиптический фильм, Научно-фантастический фильм","Баранов, Егор Геннадьевич",,2019
Авалон,"Кинофантастика, Триллер, Драма (жанр), Киберпанк",Мамору Осии,"Япония, Польша",2001
Авалон,Драма (жанр),Барри Левинсон,США,1990
Ава,Драма (жанр),"Леа Мисиус, [fr]",,2017
Абу Райхан Беруни,Драматический фильм,Шухрат Аббасов,СССР,1974
Абсурдистан,Комедия,Файт Хельмер,"Германия, Азербайджан",2008
Абсолютные новички,"Драма (жанр), Фэнтези, Мелодрама, Мюзикл","Джулиен Темпл, [en]",,1986
Абсолютная сотня,"Криминальный фильм, Драма (жанр), Боевик (киножанр), Триллер",Срджан Голубович,СР Югославия,2001
Эта статья ,"Драма (жанр), Триллер, Детектив",Даниэль Рагуссис,США,2016
Абсолютная власть,"Драма (жанр), Триллер",Клинт Иствуд,США,1997
Абсолон,Фантастический боевик (жанр) (страница отсутствует),Дэвид Барто,"Великобритания, Канада",2003
Эту статью предлагается ,,Пуриа Хейдари Урех,Армения,2016
"Абраксас, хранитель Вселенной",Боевик (киножанр),Дэмьен Ли,,1991
"Аборт: Истории, рассказанные женщинами",Документальное кино,"Трейси Дроз Трагос, [1]",,2016
Абориген,Драматический фильм,Елена Николаева,СССР,1988
Абитуриентка,Драматический фильм,Алексей Мишурин,СССР,
Абель,Кинокомедия,Алекс ван Вармердам,Нидерланды,1986
"Абдулладжан, или Посвящается Стивену Спилбергу","Фантастический фильм, Комедия",Зульфикар Мусаков,СССР,1991
Аббатство Даунтон: Новая эра,Историческая драма,"Саймон Кёртис, [en]","Великобритания, США",2022
Аббатство Даунтон,Драма (жанр),"Майкл Энглер, [en]",Великобритания,2019
Аббат Шаолиня,"Боевик (киножанр), Приключенческий фильм","Хэ Мэнхуа, [en]",Гонконг,1979
Абатуар. Лабиринт страха,Фильм ужасов,Даррен Линн Боусман,США,2016
Аафат,,"Атма Рам, [d]",,1977
«А чой-то ты во фраке?»,"Комедия, Мюзикл",Иосиф Райхельгауз,,1993
Эта статья не соответствует ,Военная драма,Владимир Шамшурин,СССР,
А у вас который час?,Драма (жанр),Цай Минлян,Китайская Республика,2001
"А теперь, дамы и господа","Криминальный фильм, Драма (жанр), Мелодрама, Триллер",Клод Лелуш,"Франция, Великобритания",2002
Монти Пайтон: а теперь нечто совсем другое,Кинокомедия,Иан Макнафтон,Великобритания,1971
А потом мы танцевали,Драма (киножанр),Леван Акин,,2019
А теперь не смотри,Мистический триллер (страница отсутствует),Николас Роуг,,1973
А счастье рядом,Мелодрама,Маргарита Касымова,"СССР, Таджикская ССР",
А поутру они проснулись,"Кинокомедия, Драматический фильм",Сергей Никоненко,Россия,2003
